S.NO,Brand,Processor,RAM(GB),OperatingSystem,Storage(SSD),Frequency(Hz),GraphicsCard,Display,Warranty,Price,rating
1,Lenovo Ideapad S145 ,Intel Core i5 Processor (10th Gen),8,64 bit Windows 10 Operating System,100,2,Ultra,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,45000,3.9
2,Lenovo Ideapad S23,Intel Core i3 Processor (11th Gen),8,64 bit Windows 10 Operating System,256,3,BuiltIn,35.56 cm (14 Inch) Display,1 Year Onsite Warranty,48000,4.2
3,HP Pentium Light lap,Intel Pentium Quad Core Processor,8,64 bit Windows 10 Operating System,256,4, Radeon RX,35.56 cm (14 inch) Display,1 Year Onsite Warranty,55000,4.6
4,HP 14S Core,Intel Core i3 Processor (11th Gen),8,64 bit Windows 10 Operating System,256,5,Radeon RX 6600 XT.,35.56 cm (14 inch) Display,1 Year Onsite Warranty,52000,3.5
5,HP 15s Athlon ,AMD Athlon Dual Core Processor,4,64 bit Windows 10 Operating System,100,2,RX 7900 XTX,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,35000,4.1
6,Lenovo IdeaPad 3,Intel Core i5 Processor (10th Gen),8,64 bit Windows 10 Operating System,100,1,Ultra,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,65000,4.2
7,HP Pavilion Gaming Ryzen,AMD Ryzen 5 Quad Core Processor,8,64 bit Windows 10 Operating System,100,5,FHD gaming,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,45000,4.2
8,acer Predator Helios 300 ,Intel Core i7 Processor (10th Gen),4,64 bit Windows 10 Operating System,500,6,Arc 450,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,48000,4.1
9,ASUS VivoBook 15 ,Intel Core i3 Processor (10th Gen),8,64 bit Windows 10 Operating System,100,4,Ultra,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,55000,4.2
10,HP 15s Ryzen ,AMD Ryzen 3 Dual Core Processor,8,64 bit Windows 10 Operating System,100,5,BuiltIn,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,52000,4.4
11,ASUS Vivobook Gaming ,Intel Core i5 Processor (9th Gen),8,64 bit Windows 10 Operating System,512,4, Radeon RX,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,35000,4.3
